Country,GDP,Population,GDP_per_capita,Area
Gabon,19388402542.0,2484789,7802.84,267667.0
French Guiana,4562000000.0,295385,15444.0,91000.0
The Gambia,2396111022.0,2697845,888.16,11300.0
Georgia,30777833585.0,3715483,8283.67,69700.0
Germany,4525703903628.0,83280000,54343.23,357021.0
Ghana,76370396722.0,33787914,2260.29,239460.0
Greece,243498333238.0,10405588,23400.73,131940.0
Greenland,3008000000.0,56583,37000.0,2166086.0
Grenada,1316733333.0,117081,11246.35,344.0
Guatemala,104450210572.0,18124838,5762.82,108890.0
Guinea,22199409741.0,14405468,1541.04,245857.0
Guinea-Bissau,2048348108.0,2153339,951.24,36120.0
Guyana,17159509565.0,826353,20765.35,214970.0
Haiti,19850829758.0,11637398,1705.78,27750.0
Honduras,34400509852.0,10644851,3231.66,112090.0
Hong Kong,380812234828.0,7536100,50531.74,1092.0
Hungary,212388906459.0,9592186,22141.87,93030.0
Iceland,31325116556.0,393349,79636.95,103000.0
